post_date,headlines,texts,likes,comment_counts,shares,url,sponsored,sponsor_name
TBD,We rate Christmas decorations by 12 Orchard Rd malls & some are really A for effort,A very unofficial guide.,96,7,41,https://l.facebook.com/l.php?u=https%3A%2F%2Fmothership.sg%2F2022%2F12%2Forchard-road-christmas-lights-2022%2F&h=AT2Ws-wwsLc1adldmJHrJuyYnkA0iAdqXYDD7_xnVHHaokiQ1ZQ2D_w5QQWQulwQ0eO7zUs7S8B8OZK6uSboYL9yAaiJ88eiWu0xuTykJHfz9jm1d8giAYXVpzjce6xIenrFP2vAifvAZbQoQWV9gDAoCg&__tn__=%2CmH-R&c[0]=AT3HJ-jypsWW3rPeXuBYhRmXclyY2h2zcq64RIjYeldX06A_wLg90An-p0Nj_ckp_tG6OGukPvJSJondrLFC9jCOF6AZn6WEVIwR3-OjthZBazqNI4mtjTihhCBnBsAK3RbT5EWf9WY9-IwzAuI8M-MhMdXw1sdDfjGyzitPGvakATW4E9MeXSLOee0H53srY_8-0MqqEjsPBw4WD_moNaGt-3ZhGHG3G6c7ZxY,ORGANIC,ORGANIC
TBD,,,0,0,0,,ORGANIC,ORGANIC
TBD,"S'porean hawker-chef, 30, on why he doesn't accept donations for charitable cause","You might have heard of Beng Who Cooks. This is why he gave out free meals during the pandemic, and why he doesn't expect a ""thank you"".
***
GDLL stands for Give, Donate, Laugh, Love. Trust us, we know how that sounds.… See more",601,24,30,https://l.facebook.com/l.php?u=https%3A%2F%2Fmothership.sg%2F2022%2F12%2Fbeng-who-cooks-jason-chua-interview%2F&h=AT3TBP-dHGXum7SX0ojJgTz_dfAesIT4trdqLlinlVYQk5IFa2wHlq29OD0JoZt7QqGenQHhFhV-Hy6ZmqdcwQNjdxpyXAi94EkEuKcmUwJlGSXxZFIHs6teGPZ1aHG0TJvjVEZ1_KjkvTkO5gD78O6JJQ&__tn__=%2CmH-R&c[0]=AT23BQtaTRyW2PKzd7cjYMD4WCSdwbdKAKSyfD2MS_2MarjJ3JwvbpSZycv4nuIlvdehkei7MMNsY6wGJC7yHcy2yeo9GAWfDvT3-HPcVCuiDVbPjjJz6XRp0G3GBWNKFKqIjH9nKhHcmsKLn6SiqarQnqFNzmYq5GM4NQ4ve5PCqsFGxceJjV16-cTyZFH-PiUpzNfshs3PgnZb5GbwNEKLTmo5kVJyL-49jbo,ORGANIC,ORGANIC
TBD,"2022 World Cup semi-finals confirmed, France take on Morocco, while Argentina face Croatia",Will it be back-to-back triumphs for France? One step further for 2018 runner-up Croatia? The last shot at glory for Lionel Messi's Argentina? Or the ultimate fairytale ending for Morocco?,75,25,10,https://l.facebook.com/l.php?u=https%3A%2F%2Fmothership.sg%2F2022%2F12%2F2022-world-cup-semi-finals%2F&h=AT0cvHjdQFlN7wtBVx4uQOLl9Uvk80xYuymEUGZM7-0QdFq5nH-mHzqAY7i0aJWSMGOrGpCBI6jCWpTU5piDl61pEz9oObRuQSfVUFd98zSpF45h-6khUxGti6HNCBL35DCjMopAJWODKNO9uBrXvMB2tA&__tn__=%2CmH-R&c[0]=AT2xjOr89dRG4lts4gB7Xozf2XazkgOnlSVU2TxUUTuW9w3QykEx62hfB30V-6mtcgVdJfFMjUHI-rEV2kKF8nWEpKb1Pf8vqT47B45AIFzrnk3lBX0P2IasEuzbpiYozlYydRmhv34XF9LbWKiBHq_PHiUg-8y55SAK4FRoMQmFkHO3X3LAEV8bpy6bjulr26rZfVmSkUoeSFw5NY082yG1D-nv5T8RqE2xpMA,ORGANIC,ORGANIC
TBD,Flowers left in front of Civil Defence Heritage Gallery statue as tribute to fallen 19-year-old NSF firefighter,"Several firefighters from the Central Fire Station, where Go was posted, were also seen standing in silence in front of the statue in their uniforms as a mark of respect, for around a minute.",2300,205,83,https://l.facebook.com/l.php?u=https%3A%2F%2Fmothership.sg%2F2022%2F12%2Ffallen-nsf-firefighter-flowers-tributes%2F&h=AT2f3NoOHSF4_gq7fCVh7iKTsnrCP7DL8jgzZyOPnXpW9X_PE1pMIbWK_fSdofcPNtNppv-0M5XMJjiOEbi0AEG0ise5JAJbWGrSFdDKiHpCB4mKDn4P86dFBPejMQS7YX8Hq5srxSs53yoSlwFJLZnpMQ&__tn__=%2CmH-R&c[0]=AT0inbvmOfZ8a09SPVaJFPD9rSNLaWNPOgBdZeQvHqPLuE-o_Holaoys-QSdrIv8Lx4qUFusB-BMwAg_EAcSkpSH56AVs3jN_nMklW0IebGzL86Zyu1t8XL0V9YO3_u1lSZJ9ivEjv_TyPovJcE1i5Q9NbetgTO7qE5ZKXYLhj-V054JO6-_GxoVNHRoii7nYMoyt2r2_AXU9BOOctOI0OtTzpm2VDCYa9iu2YI,ORGANIC,ORGANIC
TBD,"Is Ice Magic, the winter-themed Bayfront attraction, worth the visit & wait?","Previously, visitors could only remain inside until the end of their respective time slots. This policy has now been changed, and patrons can remain inside until the attraction closes for the day.",626,83,80,https://l.facebook.com/l.php?u=https%3A%2F%2Fmothership.sg%2F2022%2F12%2Fice-magic-singapore-review%2F&h=AT1oOgeZdZjVGpHjAIudtcSiWMhrAmxEw4IjlbIl7o80W-07Gok541v-H3MWAOD1sOR8V4XIAlv88Zy7L0fkqLKiPuJSFSgdXvQ-tqDpM-Bu47r_vnUHP4F3Npcca2ANls15zBOp2nDDq6yf1hJ6oTMteQ&__tn__=%2CmH-R&c[0]=AT1u8Ck-AtgEKl5pfqzemliumiCXsOlfeFfsPrvcGQHJhFsz-r-XPEsg1ilhZ52qnAg8wMW4zHadGdpD6TVo--YFflk6D7wo0cbU0pKHJw2vBsqlliqUbo_iqNobJ3JiqJdcX3UPJr_Gci_VCw0edefG8KBmsKH1mxYtRm0RncCvQITy6A45exoOuf1_oJ7cUFou8cDXiX517bTsdUHNkSe-rI6BK4K0wFktRsc,ORGANIC,ORGANIC
TBD,"376 people in S'pore, aged 13 to 71, investigated for scams of over S$9.2 million",Cheating carries a jail term of up to 10 years and a fine.,159,47,35,https://l.facebook.com/l.php?u=https%3A%2F%2Fmothership.sg%2F2022%2F12%2F376-people-1300-scams-investigation%2F&h=AT3_p41L9Qu6ZiC2_tqKPSSSGK7Ai5ctw_ihB9HgGt6q5LYnapdMv4HgWSds6AsGjTRgwtl6HfSsVViwCPcXqK2LfcxRYz13NsOym-W-MEfFDGGP0N1-sgLQ0ekh7mk54KRo4di1RY9Mnfq9x79eayrvlA&__tn__=%2CmH-R&c[0]=AT0RKxH4dOnm9_dvthLPXaj2qXp1fPJS3j_CM0MkJ-RVJYq5oJC6hYR2sUNww-UAnwgOxAhd6DrlUYZ48EQ4Qw-M3SSom0oStedc0oD24_FP95gFnxcrvOfl-HI5pAiNK79vkEXfz_nqznS99UPlw4vWACwUAvGbMUqyeijAo-75YjU3OgUbLgbAAeMKv3JfoQmeRIskXMa4MpU9LQnwzoNS5UV1bDcgRcE2Yxk,ORGANIC,ORGANIC
TBD,M'sian Domino's Pizza customer discovers greasy cutter in his order,Domino's Pizza apologised to the customer for the incident.,3900,539,370,https://l.facebook.com/l.php?u=https%3A%2F%2Fmothership.sg%2F2022%2F12%2Fmsian-dominos-pizza-customer-discovers-greasy-cutter-in-his-order%2F&h=AT2FkKvdPr1UA6IwcnG9cKFJo72LwZ_PVPscWVwiiWe-Ib2fTq8-8P-z0CMAPRGdLQUd2lIU16KfkWcf019aZYQLAUbt4gLCrSBL46QbX3Zo6br5WWPLn4cQ_XPOt-dR_oR5d2zQzgpiHTyvqOKfvq84hw&__tn__=%2CmH-R&c[0]=AT2dg-xKHN6MvvUYDoKCva4E6aifdZR6YwMKVV7NkLUX40lNL_DkjEnDJesp3MeV2sFmJV3uhoJZY8HUy_kpe64vhmN8rpT-4Zi_E-5F2ktnWw90YdXIm3exkpJ32-FbTJ585O_aO06vDnnyLjvp3a-PLaR41uOPUe7WPqAD27IUbHiyJzTrHqM6qa6hEwD2iI3rxw8L1zQXHT4NXCQ9oUAdpk09kTk-bJAMj9A,ORGANIC,ORGANIC
TBD,PM Lee to officiate new RSN submarine launches in Germany before attending Asean-EU summit in Belgium,The Impeccable and the Illustrious complete the order of four Type 218SG submarines built by Germany.,261,37,16,https://l.facebook.com/l.php?u=https%3A%2F%2Fmothership.sg%2F2022%2F12%2Fpm-lee-visit-germany%2F&h=AT2Ugvb9xBKI7BOMKHfvFL0kA_C-V2NaZGcyH392sDD4zrrJmdi5Ew0jEDgIL52GNR-pY-BFE1p7SVefCQy4i4GbqMwNhBL1BOTU0RFARBA6qOiR9mwwFByRsLdjXhkNk35xTzzay_iJwJMeH9Abk2VEyg&__tn__=%2CmH-R&c[0]=AT241a6QYR3qKvjlOUfoa8AYABSzSKGx6yLrFGl87y5is_FNv6EK_Yub3MjLm21I7Cmh-WLaLd__tVbhOYq-od9D7sjEupBXa_beLrei6K9OVPvZTzon8Ej3_r5kx_hQ8YPkNccAy6GcM8qnYxJjb1XJ1RaT0a0h4ds1r4Mtlp_kGMkOP0vsmuNxJbAooq02p2SrvJzaTWavMC-tzmJbPdednKtwx62YkUDjQRA,ORGANIC,ORGANIC
TBD,Cristiano Ronaldo breaks down in tears after Portugal crash out of World Cup,End of an era?,191,59,15,https://l.facebook.com/l.php?u=https%3A%2F%2Fmothership.sg%2F2022%2F12%2Fcristiano-ronaldo-world-cup-cries%2F&h=AT1PsEhsetiGFZX4ZXfM678bwj_n2o967HjcNVKnSaBA_jIfEQZIwyzxUdbHKb-CxmRqwxYN3ettLD9SfT79YgCE8l9UQvKu775ML9p2Ykyl-5WFuyooxL9-_-1jaDbgjMPBCXZpmcv5igyHB0DfgJE26w&__tn__=%2CmH-R&c[0]=AT3Ju6TF0Se6K-nEsCR71MJh1SF57bP1Yk6GLfNP3BRze3LSBzr3C4pTpr2VHmdlHAl5UO-bev4TqDU7jGkVEtYTwZSIiz9_gkNB7oJIX6SJp-hrNRl5lr_z-d5HxF_xigZi_YlY3Tj93W2CU4_it31fMU3Qyj4YLhm_Ohqa2l5UHAqabQHI9p8gXJkrz7SfXY3taoZLWuXHDcotSrEfWJA4wkFPJq4I49Dfcjk,ORGANIC,ORGANIC
